xllcorner,yllcorner,cellsize,nrows,ncols,band,units,scale,latitude,longitude,site,product,start,end,complete,modis_date,calendar_date,tile,proc_date,pixel,value
1698504.46,-3791982.89,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.100875,18.449375,sitename,MOD13Q1,2000-01-01,2021-10-01,FALSE,A2000049,2000-02-18,h19v12,2015136104729,1,6447
1698504.46,-3791982.89,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.100875,18.449375,sitename,MOD13Q1,2000-01-01,2021-10-01,FALSE,A2000065,2000-03-05,h19v12,2015136023221,1,5836
1698504.46,-3791982.89,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.100875,18.449375,sitename,MOD13Q1,2000-01-01,2021-10-01,FALSE,A2000081,2000-03-21,h19v12,2015136040913,1,5569
1698504.46,-3791982.89,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.100875,18.449375,sitename,MOD13Q1,2000-01-01,2021-10-01,FALSE,A2000097,2000-04-06,h19v12,2015136040622,1,5900
1698504.46,-3791982.89,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.100875,18.449375,sitename,MOD13Q1,2000-01-01,2021-10-01,FALSE,A2000113,2000-04-22,h19v12,2015137042903,1,6361
1698504.46,-3791982.89,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.100875,18.449375,sitename,MOD13Q1,2000-01-01,2021-10-01,FALSE,A2000129,2000-05-08,h19v12,2015137053039,1,6409
1698504.46,-3791982.89,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.100875,18.449375,sitename,MOD13Q1,2000-01-01,2021-10-01,FALSE,A2000145,2000-05-24,h19v12,2015137094752,1,6230
1698504.46,-3791982.89,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.100875,18.449375,sitename,MOD13Q1,2000-01-01,2021-10-01,FALSE,A2000161,2000-06-09,h19v12,2015137050919,1,6089
1698504.46,-3791982.89,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.100875,18.449375,sitename,MOD13Q1,2000-01-01,2021-10-01,FALSE,A2000177,2000-06-25,h19v12,2015138070933,1,6708
1698504.46,-3791982.89,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.100875,18.449375,sitename,MOD13Q1,2000-01-01,2021-10-01,FALSE,A2000193,2000-07-11,h19v12,2015138075221,1,6639
